dataset,subject,n_blocks,n_par,n_strata,degenerate_strata,stat,z,p,p_two,n_assignments,exact,q
Angelique,S02,12,6,6,0,26.31654,-0.6695,0.66406,0.67188,64,True,0.9294206896551723
Angelique,S03,12,6,6,0,27.6569,1.2679,0.10938,0.21875,64,True,0.7031
Angelique,S04,12,6,6,0,22.46768,-0.7662,0.76562,0.46875,64,True,0.9294206896551723
Angelique,S05,12,6,6,0,26.87453,-0.686,0.72656,0.54688,64,True,0.9294206896551723
Angelique,S07,12,6,6,0,22.72665,0.8355,0.21094,0.42188,64,True,0.7031333333333333
Angelique,S08,12,6,6,0,27.44321,-0.4353,0.63281,0.73438,64,True,0.9294206896551723
Angelique,S09,12,6,6,0,26.3999,-0.1874,0.55469,0.89062,64,True,0.9294206896551723
Angelique,S10,12,6,6,0,19.26851,-0.5458,0.64062,0.71875,64,True,0.9294206896551723
Angelique,S11,12,6,6,0,20.97723,-0.9439,0.89844,0.20312,64,True,0.9294206896551723
Angelique,S13,12,6,6,0,21.66148,-1.8845,0.96094,0.07812,64,True,0.96094
Angelique,S15,12,6,6,0,25.52721,1.0441,0.20312,0.40625,64,True,0.7031333333333333
Angelique,S16,11,6,6,1,30.89694,0.5901,0.20312,0.40625,32,True,0.7031333333333333
Angelique,S18,12,6,6,0,24.951,-0.7372,0.74219,0.51562,64,True,0.9294206896551723
Angelique,S19,12,6,6,0,23.61155,-0.5244,0.67188,0.65625,64,True,0.9294206896551723
Angelique,S21,12,6,6,0,24.14198,2.5722,0.01562,0.03125,64,True,0.4686
Angelique,S22,12,6,6,0,24.98651,-0.5537,0.61719,0.76562,64,True,0.9294206896551723
Angelique,S23,12,6,6,0,22.34306,-1.3904,0.89062,0.21875,64,True,0.9294206896551723
Angelique,S24,12,6,6,0,25.2536,0.3961,0.24219,0.48438,64,True,0.7265699999999999
Angelique,S25,12,6,6,0,23.99284,-1.0161,0.82031,0.35938,64,True,0.9294206896551723
Angelique,S26,12,6,6,0,19.16298,1.4943,0.07812,0.15625,64,True,0.7031
Angelique,S27,12,6,6,0,23.73124,-0.5252,0.63281,0.73438,64,True,0.9294206896551723
Angelique,S28,12,6,6,0,23.92713,-1.0967,0.89062,0.21875,64,True,0.9294206896551723
Angelique,S29,12,6,6,0,33.3771,1.4552,0.14062,0.28125,64,True,0.7031
Angelique,S31,12,6,6,0,21.37893,0.3113,0.35156,0.70312,64,True,0.8112923076923076
Angelique,S32,12,6,6,0,32.66362,0.6377,0.27344,0.54688,64,True,0.7457454545454546
Angelique,S33,12,6,6,0,36.65823,1.37,0.11719,0.23438,64,True,0.7031
Angelique,S34,12,6,6,0,24.17559,0.2651,0.30469,0.60938,64,True,0.7617250000000001
Angelique,S35,12,6,6,0,27.53879,1.1683,0.11719,0.23438,64,True,0.7031
Angelique,S37,12,6,6,0,24.42852,-0.9189,0.85156,0.29688,64,True,0.9294206896551723
Angelique,S38,12,6,6,0,23.19787,-0.4983,0.70312,0.59375,64,True,0.9294206896551723
Talia,S01,8,4,4,0,36.88758,-0.9897,0.8125,0.375,16,True,0.9375
Talia,S02,8,4,4,0,33.0799,-1.5323,0.90625,0.1875,16,True,0.9375
Talia,S03,8,4,4,0,40.05528,1.9339,0.09375,0.1875,16,True,0.703125
Talia,S04,8,4,4,0,39.87758,0.0439,0.53125,0.9375,16,True,0.8096590909090909
Talia,S05,8,4,4,0,37.47299,-0.5994,0.5625,0.875,16,True,0.8096590909090909
Talia,S06,8,4,4,0,37.05551,-1.3865,0.90625,0.1875,16,True,0.9375
Talia,S07,8,4,4,0,45.04381,0.9778,0.15625,0.3125,16,True,0.703125
Talia,S08,8,4,4,0,44.27784,1.013,0.1875,0.375,16,True,0.703125
Talia,S09,8,4,4,0,40.25964,-0.1272,0.5625,0.875,16,True,0.8096590909090909
Talia,S10,8,4,4,0,40.54457,0.2385,0.4375,0.875,16,True,0.8096590909090909
Talia,S11,8,4,4,0,40.15953,-1.3017,0.9375,0.125,16,True,0.9375
Talia,S12,8,4,4,0,45.58163,0.3195,0.4375,0.875,16,True,0.8096590909090909
Talia,S13,8,4,4,0,42.48117,1.0068,0.1875,0.375,16,True,0.703125
Talia,S14,8,4,4,0,37.29162,-0.3999,0.5625,0.875,16,True,0.8096590909090909
Talia,S15,8,4,4,0,36.88156,-0.1288,0.59375,0.8125,16,True,0.8096590909090909
